unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.63E+12,2021-08-11 00:00,BTC/USDT,45585,45800,45450,45762.63,685.958977,31270773.22,19227
1.63E+12,2021-08-10 00:00,BTC/USDT,46248.87,46700,44589.46,45584.99,53814.64342,2452485824,1951330
1.63E+12,2021-08-09 00:00,BTC/USDT,43794.36,46454.15,42779,46253.4,74587.88485,3362870286,2130595
1.63E+12,2021-08-08 00:00,BTC/USDT,44572.54,45310,43261,43794.37,69329.0927,3074924735,1857112
1.63E+12,2021-08-07 00:00,BTC/USDT,42836.87,44700,42446.41,44572.54,73396.74081,3197407326,2258213
1.63E+12,2021-08-06 00:00,BTC/USDT,40862.46,43392.43,39853.86,42836.87,75753.94135,3148022460,2223356
1.63E+12,2021-08-05 00:00,BTC/USDT,39723.17,41350,37332.7,40862.46,84343.75562,3314527738,1913281
1.63E+12,2021-08-04 00:00,BTC/USDT,38207.04,39969.66,37508.56,39723.18,52329.35243,2028792778,1220555
1.63E+12,2021-08-03 00:00,BTC/USDT,39146.86,39780,37642.03,38207.05,57117.43585,2195360659,1379871
1.63E+12,2021-08-02 00:00,BTC/USDT,39850.27,40480.01,38690,39147.82,50837.35195,2010928004,1162878
1.63E+12,2021-08-01 00:00,BTC/USDT,41461.84,42599,39422.01,39845.44,53953.18633,2227567271,1603964
1.63E+12,2021-07-31 00:00,BTC/USDT,42206.36,42448,41000.15,41461.83,44849.79101,1868285511,1565380
1.63E+12,2021-07-30 00:00,BTC/USDT,40018.49,42316.71,38313.23,42206.37,73602.78481,2939833541,1797012
1.63E+12,2021-07-29 00:00,BTC/USDT,40019.57,40640,39200,40016.48,53998.43928,2154190697,1428738
1.63E+12,2021-07-28 00:00,BTC/USDT,39456.61,40900,38772,40019.56,101344.5284,4040889462,2631048
1.63E+12,2021-07-27 00:00,BTC/USDT,37241.33,39542.61,36383,39457.87,88397.26702,3335658262,1938478
1.63E+12,2021-07-26 00:00,BTC/USDT,35381.02,40550,35205.78,37237.6,152452.5127,5832475057,3330102
1.63E+12,2021-07-25 00:00,BTC/USDT,34261.51,35398,33851.12,35381.02,47852.92831,1646935553,1245775
1.63E+12,2021-07-24 00:00,BTC/USDT,33634.1,34500,33401.14,34258.14,47977.55014,1625046258,1196914
1.63E+12,2021-07-23 00:00,BTC/USDT,32287.58,33650,31924.32,33634.09,50112.86363,1631947003,1394786
1.63E+12,2021-07-22 00:00,BTC/USDT,32144.51,32591.35,31708,32287.83,46148.09243,1482763545,1000742
1.63E+12,2021-07-21 00:00,BTC/USDT,29790.34,32858,29482.61,32144.51,82796.26513,2603140706,1415058
1.63E+12,2021-07-20 00:00,BTC/USDT,30839.65,31063.07,29278,29790.35,61034.04902,1821230700,1062139
1.63E+12,2021-07-19 00:00,BTC/USDT,31778.57,31899,30407.44,30839.65,47340.4685,1470563282,846029
1.63E+12,2021-07-18 00:00,BTC/USDT,31520.07,32435,31108.97,31778.56,35923.71619,1140964366,760979
1.63E+12,2021-07-17 00:00,BTC/USDT,31383.86,31955.92,31164.31,31520.07,34012.24213,1072815966,883442
1.63E+12,2021-07-16 00:00,BTC/USDT,31874.49,32249.18,31020,31383.87,48499.86415,1538342712,1067591
1.63E+12,2021-07-15 00:00,BTC/USDT,32820.03,33185.25,31133,31880,51639.57635,1652077965,1099367
1.63E+12,2021-07-14 00:00,BTC/USDT,32729.12,33114.03,31550,32820.02,46777.82348,1515692075,1123129
1.63E+12,2021-07-13 00:00,BTC/USDT,33086.94,33340,32202.25,32729.77,41126.36101,1348583017,956053
1.63E+12,2021-07-12 00:00,BTC/USDT,34259,34678.43,32658.34,33086.63,48181.40376,1620646741,1176847
1.63E+12,2021-07-11 00:00,BTC/USDT,33502.87,34666,33306.47,34258.99,31572.64745,1070033013,952891
1.63E+12,2021-07-10 00:00,BTC/USDT,33815.81,34262,33004.78,33502.87,34761.17547,1171790111,865508
1.63E+12,2021-07-09 00:00,BTC/USDT,32875.71,34100,32261.07,33815.81,47153.9399,1562958239,1236351
1.63E+12,2021-07-08 00:00,BTC/USDT,33862.11,33929.64,32077,32875.71,70136.48032,2304973020,1257892
1.63E+12,2021-07-07 00:00,BTC/USDT,34220.02,35059.09,33777.77,33862.12,53807.52168,1857658028,1041416
1.63E+12,2021-07-06 00:00,BTC/USDT,33690.15,35118.88,33532,34220.01,58210.59635,1991691101,1184687
1.63E+12,2021-07-05 00:00,BTC/USDT,35288.13,35293.78,33125.55,33690.14,64123.87425,2183406257,1109367
1.63E+12,2021-07-04 00:00,BTC/USDT,34669.12,35967.85,34357.15,35286.51,43703.47579,1544458212,1164970
1.63E+12,2021-07-03 00:00,BTC/USDT,33786.54,34945.61,33316.73,34669.13,43044.57864,1478423024,1078278
1.63E+12,2021-07-02 00:00,BTC/USDT,33502.33,33977.04,32699,33786.55,56172.18138,1870193042,1176457
1.63E+12,2021-07-01 00:00,BTC/USDT,35045,35057.57,32711,33504.69,71708.26611,2410809595,1240681
1.63E+12,2021-06-30 00:00,BTC/USDT,35911.72,36100,34017.55,35045,77152.19763,2688939291,1301036
1.62E+12,2021-06-29 00:00,BTC/USDT,34494.89,36600,34225.43,35911.73,90788.79622,3233947792,1673802
1.62E+12,2021-06-28 00:00,BTC/USDT,34702.49,35297.71,33862.72,34494.89,82222.26782,2837122780,1868627
1.62E+12,2021-06-27 00:00,BTC/USDT,32283.65,34749,31973.45,34700.34,96613.24421,3199980158,1799875
1.62E+12,2021-06-26 00:00,BTC/USDT,31576.09,32730,30151,32283.65,107820.3753,3376415452,1814051
1.62E+12,2021-06-25 00:00,BTC/USDT,34663.08,35500,31275,31584.45,116061.1304,3846120543,2094932
1.62E+12,2021-06-24 00:00,BTC/USDT,33675.07,35298,32286.57,34663.09,86625.80426,2925373222,1531230
1.62E+12,2021-06-23 00:00,BTC/USDT,32509.56,34881,31683,33678.07,126966.1006,4282250434,2026228
1.62E+12,2021-06-22 00:00,BTC/USDT,31614.12,33298.78,28805,32509.56,204208.1798,6406159197,3113977
1.62E+12,2021-06-21 00:00,BTC/USDT,35600.17,35750,31251.23,31608.93,168778.8732,5545926078,2688993
1.62E+12,2021-06-20 00:00,BTC/USDT,35483.72,36137.72,33336,35600.16,89878.17085,3124634337,1691871
1.62E+12,2021-06-19 00:00,BTC/USDT,35820.48,36457,34803.52,35483.72,68712.44946,2453817535,1212278
1.62E+12,2021-06-18 00:00,BTC/USDT,38092.97,38202.84,35129.29,35819.84,95228.04294,3507868126,1809253
1.62E+12,2021-06-17 00:00,BTC/USDT,38349,39559.88,37365,38092.97,79541.30712,3065622530,1620210
1.62E+12,2021-06-16 00:00,BTC/USDT,40143.8,40527.14,38116.01,38349.01,87771.97694,3450556042,2134897
1.62E+12,2021-06-15 00:00,BTC/USDT,40516.28,41330,39506.4,40144.04,80679.62284,3247746714,1931890
1.62E+12,2021-06-14 00:00,BTC/USDT,39020.56,41064.05,38730,40516.29,108522.3919,4320307647,2185089
1.62E+12,2021-06-13 00:00,BTC/USDT,35546.12,39380,34757,39020.57,86921.02556,3208991522,1894103
1.62E+12,2021-06-12 00:00,BTC/USDT,37331.98,37463.63,34600.36,35546.11,87717.54999,3132387327,1719650
1.62E+12,2021-06-11 00:00,BTC/USDT,36677.83,37680.4,35936.77,37331.98,78466.0053,2903043643,1727645
1.62E+12,2021-06-10 00:00,BTC/USDT,37388.05,38491,35782,36675.72,109527.2849,4062957162,2231430
1.62E+12,2021-06-09 00:00,BTC/USDT,33380.8,37534.79,32396.82,37388.05,136607.5975,4794741674,2601479
1.62E+12,2021-06-08 00:00,BTC/USDT,33556.96,34068.01,31000,33380.81,123251.189,4030784325,2074885
1.62E+12,2021-06-07 00:00,BTC/USDT,35796.31,36900,33300,33552.79,77574.95257,2755673602,1532260
1.62E+12,2021-06-06 00:00,BTC/USDT,35516.07,36480,35222,35796.31,47650.20664,1711857075,993430
1.62E+12,2021-06-05 00:00,BTC/USDT,36829.15,37925,34800,35513.2,70459.62149,2560547117,1463754
1.62E+12,2021-06-04 00:00,BTC/USDT,39246.78,39289.07,35555.15,36829,91317.79925,3379399755,1926311
1.62E+12,2021-06-03 00:00,BTC/USDT,37568.68,39476,37170,39246.79,75889.10601,2930945326,1949658
1.62E+12,2021-06-02 00:00,BTC/USDT,36694.85,38225,35920,37568.68,67587.3725,2523462576,1530915
1.62E+12,2021-06-01 00:00,BTC/USDT,37253.82,37894.81,35666,36693.09,81234.66377,2973928300,1760417
